Section,Wt,Area,Depth,FlangeWidth,FlangeThk,WebThk,CG_Cyy,Ixx,Iyy,Rxx,Ryy,Zxx,Zyy
ISNT 20,0.9,1.13,20,20,3,3,0.6,0.4,0.2,0.59,0.39,0.3,0.2
ISNT 30,1.4,1.75,30,30,3,3,0.83,1.4,0.6,0.89,0.57,0.6,0.4
ISNT 40,3.5,4.48,40,40,6,6,1.2,6.3,3,1.18,0.82,2.2,1.5
ISNT 50,4.5,5.7,50,50,6,6,1.44,12.7,5.9,1.5,1.02,3.6,2.4
ISNT 60,5.4,6.9,60,60,6,6,1.67,22.5,10.1,1.81,1.21,5.2,3.4
ISNT 80,9.6,12.25,80,80,8,8,2.23,71.2,32.3,2.41,1.62,12.3,8.1
ISNT 100,15,19.1,100,100,10,10,2.79,173.8,79.9,3.02,2.05,24.1,16
ISNT 150,22.8,29.08,150,150,10,10,3.95,603.8,267.5,4.56,3.03,54.6,35.7
ISST 100,8.1,10.37,100,50,10,5.8,3.03,99,9.6,3.09,0.96,14.2,3.8
ISST 150,15.7,19.96,150,75,11.6,8,4.75,450.2,37,4.75,1.36,43.9,9.9
ISST 200,28.4,36.22,200,165,12.5,8,4.78,1267.8,358.2,5.92,3.15,83.3,43.4
ISST 250,37.5,47.75,250,180,14.1,9.2,6.4,2774.4,532,7.62,3.34,149.2,59.1
ISLT 50,4,5.11,50,50,6.4,4,1.19,9.9,6.4,1.39,1.12,2.6,2.5
ISLT 75,7.1,9.04,75,80,6.8,4.8,1.72,41.9,27.6,2.15,1.75,7.2,6.9
ISLT 100,12.7,16.16,100,100,10.8,5.7,2.13,116.6,75,2.69,2.15,14.8,15
ISJT 75,3.5,4.5,75,50,4.6,3,2,24.8,4.6,2.35,1.01,4.5,1.8
ISJT 87.5,4,5.14,87.5,50,4.8,3.2,2.5,39,4.8,2.75,0.97,6.2,1.9
ISJT 100,5,6.32,100,60,5,3.4,2.81,63.5,8.6,3.17,1.17,8.8,2.9
ISJT 112.5,6.4,8.14,112.5,80,5,3.7,3.01,101.6,20.2,3.53,1.58,12.3,5.1
